State,County,Year,Unemployment_Rate
North Carolina,Alamance,2005,5.97
North Carolina,Alamance,2006,6.29
North Carolina,Alamance,2007,6.3
North Carolina,Alamance,2008,6.32
North Carolina,Alamance,2009,6.29
North Carolina,Alamance,2010,6.45
North Carolina,Alamance,2011,6.53
North Carolina,Alamance,2012,6.74
North Carolina,Alamance,2013,6.53
North Carolina,Alamance,2014,6.16
North Carolina,Alamance,2015,6.09
North Carolina,Alamance,2016,6.2
North Carolina,Alamance,2017,6.26
North Carolina,Alamance,2018,6.18
North Carolina,Alamance,2019,6.04
North Carolina,Alamance,2020,5.78
North Carolina,Alamance,2021,6.25
North Carolina,Alamance,2022,6.71
North Carolina,Alamance,2023,6.55
North Carolina,Alamance,2024,6.59
North Carolina,Alexander,2005,7.21
North Carolina,Alexander,2006,7.17
North Carolina,Alexander,2007,7.16
North Carolina,Alexander,2008,7.25
North Carolina,Alexander,2009,7.22
North Carolina,Alexander,2010,6.76
North Carolina,Alexander,2011,6.75
North Carolina,Alexander,2012,6.87
North Carolina,Alexander,2013,6.84
North Carolina,Alexander,2014,6.94
North Carolina,Alexander,2015,6.71
North Carolina,Alexander,2016,7.2
North Carolina,Alexander,2017,7.4
North Carolina,Alexander,2018,7.4
North Carolina,Alexander,2019,7.66
North Carolina,Alexander,2020,8.25
North Carolina,Alexander,2021,8.56
North Carolina,Alexander,2022,9.4
North Carolina,Alexander,2023,9.09
North Carolina,Alexander,2024,8.57
North Carolina,Alleghany,2005,7.64
North Carolina,Alleghany,2006,7.75
North Carolina,Alleghany,2007,7.73
North Carolina,Alleghany,2008,7.94
North Carolina,Alleghany,2009,7.88
North Carolina,Alleghany,2010,7.91
North Carolina,Alleghany,2011,7.8
North Carolina,Alleghany,2012,7.42
North Carolina,Alleghany,2013,7.79
North Carolina,Alleghany,2014,7.95
North Carolina,Alleghany,2015,8.0
North Carolina,Alleghany,2016,7.97
North Carolina,Alleghany,2017,8.26
North Carolina,Alleghany,2018,8.69
North Carolina,Alleghany,2019,7.77
North Carolina,Alleghany,2020,7.56
North Carolina,Alleghany,2021,7.66
North Carolina,Alleghany,2022,7.78
