County,Year,Population,State
Highland County,2005,1740,Virginia
Highland County,2006,1773,Virginia
Highland County,2007,1805,Virginia
Highland County,2008,1838,Virginia
Highland County,2009,1871,Virginia
Highland County,2010,1903,Virginia
Highland County,2011,1936,Virginia
Highland County,2012,1969,Virginia
Highland County,2013,2002,Virginia
Highland County,2014,2034,Virginia
Highland County,2015,2067,Virginia
Highland County,2016,2100,Virginia
Highland County,2017,2132,Virginia
Highland County,2018,2165,Virginia
Highland County,2019,2198,Virginia
Highland County,2020,2240,Virginia
Highland County,2021,2240,Virginia
Highland County,2022,2303,Virginia
Highland County,2024,2348,Virginia
Highland County,2023,2351,Virginia
Norton city,2024,3478,Virginia
Norton city,2023,3501,Virginia
Norton city,2022,3594,Virginia
Norton city,2021,3631,Virginia
Norton city,2020,3681,Virginia
Norton city,2019,3737,Virginia
Norton city,2018,3791,Virginia
Norton city,2017,3845,Virginia
Norton city,2016,3898,Virginia
Norton city,2015,3952,Virginia
Norton city,2014,4005,Virginia
Norton city,2013,4059,Virginia
Bath County,2023,4070,Virginia
Bath County,2024,4071,Virginia
Bath County,2022,4077,Virginia
Bath County,2021,4094,Virginia
Norton city,2012,4113,Virginia
Norton city,2011,4166,Virginia
Bath County,2019,4177,Virginia
Bath County,2020,4188,Virginia
Bath County,2018,4203,Virginia
Norton city,2010,4220,Virginia
Van Buren County,2005,4222,Tennessee
Bath County,2017,4229,Virginia
Bath County,2016,4254,Virginia
Norton city,2009,4273,Virginia
Bath County,2015,4280,Virginia
Bath County,2014,4306,Virginia
Norton city,2008,4327,Virginia
Bath County,2013,4332,Virginia
Van Buren County,2006,4352,Tennessee
Bath County,2012,4358,Virginia
Norton city,2007,4381,Virginia
Bath County,2011,4383,Virginia
Bath County,2010,4409,Virginia
Norton city,2006,4434,Virginia
Bath County,2009,4435,Virginia
Bath County,2008,4461,Virginia
Van Buren County,2007,4482,Tennessee
Bath County,2007,4487,Virginia
Norton city,2005,4488,Virginia
Bath County,2006,4512,Virginia
Bath County,2005,4538,Virginia
Van Buren County,2008,4613,Tennessee
Pickett County,2005,4635,Tennessee
Pickett County,2006,4661,Tennessee
Pickett County,2007,4687,Tennessee
Pickett County,2008,4713,Tennessee
Jasper County,2005,4714,South Carolina
Pickett County,2009,4739,Tennessee
Van Buren County,2009,4743,Tennessee
Pickett County,2010,4765,Tennessee
Pickett County,2011,4791,Tennessee
Pickett County,2012,4817,Tennessee
Craig County,2023,4827,Virginia
Craig County,2024,4829,Virginia
Pickett County,2013,4843,Tennessee
Craig County,2022,4859,Virginia
Pickett County,2014,4870,Tennessee
Van Buren County,2010,4873,Tennessee
Craig County,2020,4880,Virginia
Craig County,2021,4891,Virginia
Pickett County,2015,4896,Tennessee
Craig County,2019,4907,Virginia
Pickett County,2016,4922,Tennessee
Craig County,2018,4923,Virginia
Craig County,2017,4940,Virginia
Pickett County,2017,4948,Tennessee
Craig County,2016,4956,Virginia
Craig County,2015,4973,Virginia
Pickett County,2018,4974,Tennessee
Craig County,2014,4990,Virginia
Pickett County,2020,4999,Tennessee
Pickett County,2019,5000,Tennessee
Van Buren County,2011,5004,Tennessee
Craig County,2013,5006,Virginia
Craig County,2012,5023,Virginia
Craig County,2011,5039,Virginia
Craig County,2010,5056,Virginia
Pickett County,2021,5071,Tennessee
Craig County,2009,5073,Virginia
Craig County,2008,5089,Virginia
Pickett County,2022,5102,Tennessee
Craig County,2007,5106,Virginia
Pickett County,2024,5108,Tennessee
Pickett County,2023,5114,Tennessee
Craig County,2006,5122,Virginia
Van Buren County,2012,5134,Tennessee
Craig County,2005,5139,Virginia
Hancock County,2005,5163,Tennessee
Hancock County,2006,5262,Tennessee
Van Buren County,2013,5264,Tennessee
Hancock County,2007,5362,Tennessee
Van Buren County,2014,5394,Tennessee
Emporia city,2024,5402,Virginia
Moore County,2005,5409,Tennessee
Hancock County,2008,5461,Tennessee
Emporia city,2023,5479,Virginia
Moore County,2006,5484,Tennessee
Emporia city,2022,5524,Virginia
Van Buren County,2015,5525,Tennessee
Moore County,2007,5558,Tennessee
Hancock County,2009,5560,Tennessee
Covington city,2023,5611,Virginia
Emporia city,2021,5628,Virginia
Moore County,2008,5632,Tennessee
Van Buren County,2016,5655,Tennessee
