State,County,Year,Population
North Carolina,Tyrrell County,2005,2210
North Carolina,Tyrrell County,2006,2281
North Carolina,Tyrrell County,2007,2353
North Carolina,Tyrrell County,2008,2424
North Carolina,Tyrrell County,2009,2495
North Carolina,Tyrrell County,2010,2567
North Carolina,Tyrrell County,2011,2638
North Carolina,Tyrrell County,2012,2709
North Carolina,Tyrrell County,2013,2780
North Carolina,Tyrrell County,2014,2852
North Carolina,Tyrrell County,2015,2923
North Carolina,Tyrrell County,2016,2994
North Carolina,Tyrrell County,2017,3066
North Carolina,Tyrrell County,2018,3137
North Carolina,Tyrrell County,2019,3208
North Carolina,Tyrrell County,2020,3234
North Carolina,Tyrrell County,2021,3373
North Carolina,Tyrrell County,2022,3469
North Carolina,Tyrrell County,2024,3517
North Carolina,Tyrrell County,2023,3520
North Carolina,Hyde County,2005,4304
North Carolina,Hyde County,2006,4321
North Carolina,Hyde County,2007,4338
North Carolina,Hyde County,2008,4355
North Carolina,Hyde County,2009,4371
North Carolina,Hyde County,2010,4388
North Carolina,Hyde County,2011,4405
North Carolina,Hyde County,2012,4422
North Carolina,Hyde County,2013,4439
North Carolina,Hyde County,2014,4456
North Carolina,Hyde County,2015,4473
North Carolina,Hyde County,2016,4490
North Carolina,Hyde County,2017,4507
North Carolina,Hyde County,2020,4514
North Carolina,Hyde County,2018,4524
North Carolina,Hyde County,2019,4540
North Carolina,Hyde County,2024,4583
North Carolina,Hyde County,2021,4607
North Carolina,Hyde County,2022,4616
North Carolina,Hyde County,2023,4638
North Carolina,Graham County,2005,7476
North Carolina,Graham County,2006,7511
North Carolina,Graham County,2007,7546
North Carolina,Graham County,2008,7581
North Carolina,Graham County,2009,7616
North Carolina,Graham County,2010,7651
North Carolina,Graham County,2011,7686
North Carolina,Graham County,2012,7721
North Carolina,Clay County,2005,7722
North Carolina,Camden County,2005,7756
North Carolina,Graham County,2013,7756
North Carolina,Graham County,2014,7791
North Carolina,Jones County,2005,7821
North Carolina,Graham County,2015,7826
North Carolina,Graham County,2016,7861
North Carolina,Graham County,2017,7896
North Carolina,Jones County,2006,7908
North Carolina,Graham County,2018,7931
North Carolina,Camden County,2006,7942
North Carolina,Clay County,2006,7950
North Carolina,Graham County,2019,7966
North Carolina,Jones County,2007,7995
North Carolina,Graham County,2021,8009
North Carolina,Graham County,2020,8039
North Carolina,Graham County,2022,8052
North Carolina,Graham County,2023,8079
North Carolina,Jones County,2008,8082
North Carolina,Camden County,2007,8129
North Carolina,Jones County,2009,8169
North Carolina,Clay County,2007,8179
North Carolina,Graham County,2024,8179
North Carolina,Jones County,2010,8256
North Carolina,Camden County,2008,8315
North Carolina,Jones County,2011,8343
North Carolina,Clay County,2008,8408
North Carolina,Jones County,2012,8430
North Carolina,Camden County,2009,8502
North Carolina,Jones County,2013,8517
North Carolina,Jones County,2014,8605
North Carolina,Clay County,2009,8636
North Carolina,Camden County,2010,8688
North Carolina,Jones County,2015,8692
North Carolina,Jones County,2016,8779
North Carolina,Clay County,2010,8865
North Carolina,Jones County,2017,8866
North Carolina,Camden County,2011,8875
North Carolina,Jones County,2018,8953
North Carolina,Jones County,2019,9040
North Carolina,Alleghany County,2005,9055
North Carolina,Camden County,2012,9061
North Carolina,Clay County,2011,9094
North Carolina,Jones County,2020,9145
North Carolina,Alleghany County,2006,9180
North Carolina,Jones County,2021,9211
North Carolina,Jones County,2022,9243
North Carolina,Camden County,2013,9248
North Carolina,Alleghany County,2007,9304
North Carolina,Clay County,2012,9323
North Carolina,Alleghany County,2008,9429
North Carolina,Camden County,2014,9434
North Carolina,Jones County,2023,9448
North Carolina,Jones County,2024,9462
North Carolina,Clay County,2013,9551
North Carolina,Alleghany County,2009,9554
North Carolina,Camden County,2015,9621
North Carolina,Alleghany County,2010,9678
North Carolina,Clay County,2014,9780
North Carolina,Alleghany County,2011,9803
North Carolina,Camden County,2016,9807
North Carolina,Alleghany County,2012,9927
North Carolina,Camden County,2017,9994
North Carolina,Clay County,2015,10009
North Carolina,Alleghany County,2013,10052
North Carolina,Alleghany County,2014,10177
North Carolina,Camden County,2018,10180
North Carolina,Clay County,2016,10237
North Carolina,Gates County,2024,10299
North Carolina,Alleghany County,2015,10301
North Carolina,Gates County,2023,10354
North Carolina,Camden County,2019,10367
North Carolina,Gates County,2022,10373
North Carolina,Gates County,2021,10404
North Carolina,Camden County,2020,10407
North Carolina,Alleghany County,2016,10426
North Carolina,Gates County,2020,10450
North Carolina,Clay County,2017,10466
North Carolina,Gates County,2019,10481
North Carolina,Gates County,2018,10516
North Carolina,Alleghany County,2017,10550
North Carolina,Gates County,2017,10552
North Carolina,Gates County,2016,10587
North Carolina,Gates County,2015,10622
North Carolina,Washington County,2024,10654
North Carolina,Gates County,2014,10657
North Carolina,Alleghany County,2018,10675
North Carolina,Gates County,2013,10692
North Carolina,Clay County,2018,10695
North Carolina,Gates County,2012,10728
North Carolina,Washington County,2023,10739
North Carolina,Gates County,2011,10763
North Carolina,Gates County,2010,10798
North Carolina,Washington County,2022,10798
North Carolina,Alleghany County,2019,10800
North Carolina,Camden County,2021,10821
North Carolina,Gates County,2009,10833
North Carolina,Gates County,2008,10868
North Carolina,Washington County,2021,10888
North Carolina,Alleghany County,2020,10889
North Carolina,Gates County,2007,10904
North Carolina,Clay County,2019,10923
North Carolina,Gates County,2006,10939
North Carolina,Gates County,2005,10974
North Carolina,Washington County,2020,10981
North Carolina,Washington County,2019,11052
North Carolina,Alleghany County,2021,11074
North Carolina,Camden County,2022,11089
North Carolina,Camden County,2023,11132
North Carolina,Washington County,2018,11133
North Carolina,Clay County,2020,11145
North Carolina,Camden County,2024,11184
North Carolina,Alleghany County,2022,11187
North Carolina,Washington County,2017,11213
North Carolina,Washington County,2016,11293
North Carolina,Alleghany County,2023,11340
North Carolina,Perquimans County,2005,11344
North Carolina,Washington County,2015,11374
North Carolina,Alleghany County,2024,11379
North Carolina,Clay County,2021,11380
North Carolina,Pamlico County,2005,11439
North Carolina,Washington County,2014,11454
North Carolina,Perquimans County,2006,11456
North Carolina,Pamlico County,2006,11495
North Carolina,Washington County,2013,11534
North Carolina,Pamlico County,2007,11551
North Carolina,Perquimans County,2007,11568
North Carolina,Pamlico County,2008,11607
North Carolina,Clay County,2022,11610
North Carolina,Washington County,2012,11615
North Carolina,Pamlico County,2009,11662
North Carolina,Perquimans County,2008,11679
North Carolina,Washington County,2011,11695
North Carolina,Pamlico County,2010,11718
North Carolina,Pamlico County,2011,11774
North Carolina,Washington County,2010,11775
North Carolina,Perquimans County,2009,11791
North Carolina,Pamlico County,2012,11830
North Carolina,Washington County,2009,11855
North Carolina,Clay County,2023,11873
North Carolina,Pamlico County,2013,11886
North Carolina,Perquimans County,2010,11903
North Carolina,Washington County,2008,11936
North Carolina,Pamlico County,2014,11942
North Carolina,Pamlico County,2015,11998
North Carolina,Perquimans County,2011,12014
North Carolina,Washington County,2007,12016
North Carolina,Clay County,2024,12042
North Carolina,Pamlico County,2016,12054
North Carolina,Washington County,2006,12096
North Carolina,Pamlico County,2017,12110
North Carolina,Perquimans County,2012,12126
North Carolina,Pamlico County,2018,12166
North Carolina,Washington County,2005,12177
North Carolina,Pamlico County,2019,12221
North Carolina,Perquimans County,2013,12238
North Carolina,Pamlico County,2022,12269
North Carolina,Pamlico County,2020,12312
North Carolina,Perquimans County,2014,12350
North Carolina,Pamlico County,2021,12367
North Carolina,Pamlico County,2023,12450
North Carolina,Perquimans County,2015,12461
North Carolina,Pamlico County,2024,12550
North Carolina,Perquimans County,2016,12573
North Carolina,Perquimans County,2017,12685
North Carolina,Perquimans County,2018,12796
North Carolina,Perquimans County,2019,12908
North Carolina,Chowan County,2005,12998
North Carolina,Perquimans County,2020,13022
North Carolina,Chowan County,2006,13047
North Carolina,Chowan County,2007,13096
North Carolina,Perquimans County,2021,13126
North Carolina,Chowan County,2008,13146
North Carolina,Chowan County,2009,13195
North Carolina,Perquimans County,2022,13243
North Carolina,Chowan County,2010,13244
North Carolina,Chowan County,2011,13294
North Carolina,Chowan County,2012,13343
North Carolina,Perquimans County,2023,13367
North Carolina,Chowan County,2013,13392
North Carolina,Chowan County,2014,13442
North Carolina,Perquimans County,2024,13460
North Carolina,Chowan County,2015,13491
North Carolina,Chowan County,2016,13540
North Carolina,Chowan County,2017,13589
North Carolina,Chowan County,2018,13639
North Carolina,Chowan County,2019,13688
North Carolina,Chowan County,2020,13707
North Carolina,Chowan County,2021,13769
North Carolina,Chowan County,2024,13891
North Carolina,Chowan County,2023,13894
North Carolina,Chowan County,2022,13921
North Carolina,Swain County,2023,13923
North Carolina,Swain County,2024,13945
North Carolina,Swain County,2022,13968
North Carolina,Swain County,2020,14103
North Carolina,Swain County,2021,14126
North Carolina,Swain County,2019,14168
North Carolina,Currituck County,2005,14189
North Carolina,Swain County,2018,14220
North Carolina,Swain County,2017,14272
North Carolina,Swain County,2016,14324
North Carolina,Swain County,2015,14376
North Carolina,Swain County,2014,14428
North Carolina,Swain County,2013,14480
North Carolina,Mitchell County,2005,14498
North Carolina,Mitchell County,2006,14527
North Carolina,Swain County,2012,14532
North Carolina,Mitchell County,2007,14556
North Carolina,Swain County,2011,14583
North Carolina,Mitchell County,2008,14585
North Carolina,Mitchell County,2009,14614
North Carolina,Swain County,2010,14635
