State,County,Year,Unemployment_Rate
South Carolina,Abbeville,2005,7.24
South Carolina,Abbeville,2006,6.68
South Carolina,Abbeville,2007,6.53
South Carolina,Abbeville,2008,6.34
South Carolina,Abbeville,2009,6.17
South Carolina,Abbeville,2010,6.46
South Carolina,Abbeville,2011,6.72
South Carolina,Abbeville,2012,7.15
South Carolina,Abbeville,2013,7.46
South Carolina,Abbeville,2014,7.35
South Carolina,Abbeville,2015,7.29
South Carolina,Abbeville,2016,7.15
South Carolina,Abbeville,2017,7.24
South Carolina,Abbeville,2018,7.18
South Carolina,Abbeville,2019,7.14
South Carolina,Abbeville,2020,7.52
South Carolina,Abbeville,2021,7.75
South Carolina,Abbeville,2022,7.15
South Carolina,Abbeville,2023,7.08
South Carolina,Abbeville,2024,6.86
South Carolina,Aiken,2005,4.76
South Carolina,Aiken,2006,4.39
South Carolina,Aiken,2007,3.81
South Carolina,Aiken,2008,4.1
South Carolina,Aiken,2009,4.04
South Carolina,Aiken,2010,3.86
South Carolina,Aiken,2011,3.66
South Carolina,Aiken,2012,3.46
South Carolina,Aiken,2013,4.03
South Carolina,Aiken,2014,4.04
South Carolina,Aiken,2015,3.84
South Carolina,Aiken,2016,4.05
South Carolina,Aiken,2017,4.39
South Carolina,Aiken,2018,4.13
South Carolina,Aiken,2019,4.12
South Carolina,Aiken,2020,3.73
South Carolina,Aiken,2021,3.43
South Carolina,Aiken,2022,3.4
South Carolina,Aiken,2023,3.51
South Carolina,Aiken,2024,3.25
South Carolina,Allendale,2005,6.14
South Carolina,Allendale,2006,6.0
South Carolina,Allendale,2007,6.23
South Carolina,Allendale,2008,6.12
South Carolina,Allendale,2009,5.68
South Carolina,Allendale,2010,6.03
South Carolina,Allendale,2011,6.15
South Carolina,Allendale,2012,6.1
South Carolina,Allendale,2013,6.4
South Carolina,Allendale,2014,6.73
South Carolina,Allendale,2015,6.46
South Carolina,Allendale,2016,6.67
South Carolina,Allendale,2017,7.12
South Carolina,Allendale,2018,7.52
South Carolina,Allendale,2019,7.51
South Carolina,Allendale,2020,7.38
South Carolina,Allendale,2021,7.51
South Carolina,Allendale,2022,7.31
South Carolina,Allendale,2023,7.27
South Carolina,Allendale,2024,7.14
South Carolina,Anderson,2005,5.97
South Carolina,Anderson,2006,5.63
South Carolina,Anderson,2007,5.59
South Carolina,Anderson,2008,5.38
South Carolina,Anderson,2009,5.44
South Carolina,Anderson,2010,5.58
South Carolina,Anderson,2011,5.53
South Carolina,Anderson,2012,5.18
South Carolina,Anderson,2013,5.17
South Carolina,Anderson,2014,4.92
South Carolina,Anderson,2015,4.71
South Carolina,Anderson,2016,4.87
South Carolina,Anderson,2017,5.03
South Carolina,Anderson,2018,4.88
South Carolina,Anderson,2019,4.7
South Carolina,Anderson,2020,4.86
South Carolina,Anderson,2021,4.27
South Carolina,Anderson,2022,4.59
South Carolina,Anderson,2023,4.15
South Carolina,Anderson,2024,4.29
South Carolina,Bamberg,2005,4.15
South Carolina,Bamberg,2006,4.11
South Carolina,Bamberg,2007,3.94
South Carolina,Bamberg,2008,4.32
South Carolina,Bamberg,2009,4.86
South Carolina,Bamberg,2010,4.98
South Carolina,Bamberg,2011,5.47
South Carolina,Bamberg,2012,5.18
South Carolina,Bamberg,2013,5.22
South Carolina,Bamberg,2014,5.29
South Carolina,Bamberg,2015,5.5
South Carolina,Bamberg,2016,5.56
South Carolina,Bamberg,2017,5.27
South Carolina,Bamberg,2018,5.11
South Carolina,Bamberg,2019,5.08
South Carolina,Bamberg,2020,5.22
South Carolina,Bamberg,2021,4.85
South Carolina,Bamberg,2022,4.1
South Carolina,Bamberg,2023,4.0
South Carolina,Bamberg,2024,4.23
South Carolina,Barnwell,2005,7.43
South Carolina,Barnwell,2006,7.5
South Carolina,Barnwell,2007,7.86
South Carolina,Barnwell,2008,7.89
South Carolina,Barnwell,2009,7.63
South Carolina,Barnwell,2010,7.66
South Carolina,Barnwell,2011,7.61
South Carolina,Barnwell,2012,8.22
South Carolina,Barnwell,2013,7.84
South Carolina,Barnwell,2014,7.76
South Carolina,Barnwell,2015,8.24
South Carolina,Barnwell,2016,8.61
South Carolina,Barnwell,2017,9.0
South Carolina,Barnwell,2018,8.89
South Carolina,Barnwell,2019,8.97
South Carolina,Barnwell,2020,9.22
South Carolina,Barnwell,2021,9.29
South Carolina,Barnwell,2022,9.41
South Carolina,Barnwell,2023,9.07
South Carolina,Barnwell,2024,9.17
South Carolina,Beaufort,2005,3.86
South Carolina,Beaufort,2006,4.07
South Carolina,Beaufort,2007,4.04
South Carolina,Beaufort,2008,3.96
South Carolina,Beaufort,2009,4.34
South Carolina,Beaufort,2010,4.28
South Carolina,Beaufort,2011,4.16
South Carolina,Beaufort,2012,3.84
South Carolina,Beaufort,2013,3.72
South Carolina,Beaufort,2014,3.1
South Carolina,Beaufort,2015,2.78
South Carolina,Beaufort,2016,2.69
South Carolina,Beaufort,2017,2.5
South Carolina,Beaufort,2018,2.5
South Carolina,Beaufort,2019,2.5
South Carolina,Beaufort,2020,2.5
South Carolina,Beaufort,2021,2.5
South Carolina,Beaufort,2022,2.5
South Carolina,Beaufort,2023,2.5
South Carolina,Beaufort,2024,2.53
South Carolina,Berkeley,2005,3.17
South Carolina,Berkeley,2006,3.43
South Carolina,Berkeley,2007,3.61
South Carolina,Berkeley,2008,3.72
South Carolina,Berkeley,2009,3.96
South Carolina,Berkeley,2010,4.08
South Carolina,Berkeley,2011,4.33
South Carolina,Berkeley,2012,5.11
South Carolina,Berkeley,2013,5.09
South Carolina,Berkeley,2014,4.66
South Carolina,Berkeley,2015,4.83
South Carolina,Berkeley,2016,4.98
South Carolina,Berkeley,2017,5.07
South Carolina,Berkeley,2018,4.63
South Carolina,Berkeley,2019,4.56
South Carolina,Berkeley,2020,4.74
South Carolina,Berkeley,2021,4.66
South Carolina,Berkeley,2022,4.89
South Carolina,Berkeley,2023,5.1
South Carolina,Berkeley,2024,5.07
South Carolina,Calhoun,2005,5.18
South Carolina,Calhoun,2006,5.43
South Carolina,Calhoun,2007,5.46
South Carolina,Calhoun,2008,5.5
South Carolina,Calhoun,2009,4.98
South Carolina,Calhoun,2010,5.26
South Carolina,Calhoun,2011,5.41
South Carolina,Calhoun,2012,5.5
South Carolina,Calhoun,2013,5.22
South Carolina,Calhoun,2014,5.02
South Carolina,Calhoun,2015,5.06
South Carolina,Calhoun,2016,5.2
South Carolina,Calhoun,2017,5.19
South Carolina,Calhoun,2018,4.92
South Carolina,Calhoun,2019,5.15
South Carolina,Calhoun,2020,5.03
South Carolina,Calhoun,2021,4.9
South Carolina,Calhoun,2022,5.17
South Carolina,Calhoun,2023,5.04
South Carolina,Calhoun,2024,4.91
South Carolina,Charleston,2005,4.25
South Carolina,Charleston,2006,4.11
South Carolina,Charleston,2007,4.53
South Carolina,Charleston,2008,4.7
South Carolina,Charleston,2009,4.21
South Carolina,Charleston,2010,4.24
South Carolina,Charleston,2011,4.18
South Carolina,Charleston,2012,3.88
South Carolina,Charleston,2013,3.83
South Carolina,Charleston,2014,4.19
South Carolina,Charleston,2015,4.05
South Carolina,Charleston,2016,4.32
South Carolina,Charleston,2017,4.35
South Carolina,Charleston,2018,3.93
South Carolina,Charleston,2019,3.66
South Carolina,Charleston,2020,4.05
South Carolina,Charleston,2021,4.01
South Carolina,Charleston,2022,3.82
South Carolina,Charleston,2023,4.13
South Carolina,Charleston,2024,4.01
South Carolina,Cherokee,2005,4.32
South Carolina,Cherokee,2006,4.23
South Carolina,Cherokee,2007,4.7
South Carolina,Cherokee,2008,4.24
South Carolina,Cherokee,2009,4.51
South Carolina,Cherokee,2010,4.04
South Carolina,Cherokee,2011,3.56
South Carolina,Cherokee,2012,3.58
South Carolina,Cherokee,2013,3.22
South Carolina,Cherokee,2014,3.38
South Carolina,Cherokee,2015,3.65
South Carolina,Cherokee,2016,3.99
South Carolina,Cherokee,2017,3.9
South Carolina,Cherokee,2018,3.86
South Carolina,Cherokee,2019,4.0
South Carolina,Cherokee,2020,4.0
South Carolina,Cherokee,2021,3.5
South Carolina,Cherokee,2022,3.2
South Carolina,Cherokee,2023,3.21
South Carolina,Cherokee,2024,2.85
South Carolina,Chester,2005,8.2
South Carolina,Chester,2006,8.35
South Carolina,Chester,2007,8.26
South Carolina,Chester,2008,8.74
South Carolina,Chester,2009,8.6
South Carolina,Chester,2010,9.05
South Carolina,Chester,2011,9.37
South Carolina,Chester,2012,10.06
South Carolina,Chester,2013,10.17
South Carolina,Chester,2014,10.67
South Carolina,Chester,2015,10.94
South Carolina,Chester,2016,10.95
South Carolina,Chester,2017,11.1
South Carolina,Chester,2018,11.28
South Carolina,Chester,2019,11.44
South Carolina,Chester,2020,11.51
South Carolina,Chester,2021,11.08
South Carolina,Chester,2022,11.05
South Carolina,Chester,2023,11.13
South Carolina,Chester,2024,11.34
South Carolina,Chesterfield,2005,6.0
South Carolina,Chesterfield,2006,5.57
South Carolina,Chesterfield,2007,5.81
South Carolina,Chesterfield,2008,6.19
South Carolina,Chesterfield,2009,6.25
South Carolina,Chesterfield,2010,6.04
South Carolina,Chesterfield,2011,6.05
South Carolina,Chesterfield,2012,5.91
South Carolina,Chesterfield,2013,6.14
South Carolina,Chesterfield,2014,6.95
South Carolina,Chesterfield,2015,6.77
South Carolina,Chesterfield,2016,6.39
South Carolina,Chesterfield,2017,6.37
South Carolina,Chesterfield,2018,6.34
South Carolina,Chesterfield,2019,5.51
South Carolina,Chesterfield,2020,5.37
South Carolina,Chesterfield,2021,4.87
South Carolina,Chesterfield,2022,5.3
South Carolina,Chesterfield,2023,5.28
South Carolina,Chesterfield,2024,5.23
South Carolina,Clarendon,2005,7.45
South Carolina,Clarendon,2006,6.92
South Carolina,Clarendon,2007,6.61
South Carolina,Clarendon,2008,6.71
South Carolina,Clarendon,2009,6.32
South Carolina,Clarendon,2010,6.25
South Carolina,Clarendon,2011,6.27
South Carolina,Clarendon,2012,6.31
South Carolina,Clarendon,2013,7.05
South Carolina,Clarendon,2014,6.76
South Carolina,Clarendon,2015,7.04
South Carolina,Clarendon,2016,6.9
South Carolina,Clarendon,2017,6.74
South Carolina,Clarendon,2018,6.53
South Carolina,Clarendon,2019,6.56
South Carolina,Clarendon,2020,6.51
South Carolina,Clarendon,2021,6.47
South Carolina,Clarendon,2022,6.43
South Carolina,Clarendon,2023,6.14
South Carolina,Clarendon,2024,5.48
South Carolina,Colleton,2005,5.81
South Carolina,Colleton,2006,5.48
South Carolina,Colleton,2007,5.38
South Carolina,Colleton,2008,5.09
South Carolina,Colleton,2009,5.01
South Carolina,Colleton,2010,5.16
South Carolina,Colleton,2011,5.31
South Carolina,Colleton,2012,5.7
South Carolina,Colleton,2013,6.1
South Carolina,Colleton,2014,6.01
South Carolina,Colleton,2015,5.75
South Carolina,Colleton,2016,5.77
South Carolina,Colleton,2017,5.8
South Carolina,Colleton,2018,5.64
South Carolina,Colleton,2019,6.04
South Carolina,Colleton,2020,5.81
South Carolina,Colleton,2021,6.01
South Carolina,Colleton,2022,6.37
South Carolina,Colleton,2023,6.37
South Carolina,Colleton,2024,6.74
South Carolina,Darlington,2005,4.11
South Carolina,Darlington,2006,4.44
South Carolina,Darlington,2007,4.3
South Carolina,Darlington,2008,4.71
South Carolina,Darlington,2009,4.65
South Carolina,Darlington,2010,4.36
South Carolina,Darlington,2011,3.73
South Carolina,Darlington,2012,3.54
South Carolina,Darlington,2013,3.93
South Carolina,Darlington,2014,3.92
South Carolina,Darlington,2015,3.64
South Carolina,Darlington,2016,3.42
South Carolina,Darlington,2017,3.86
South Carolina,Darlington,2018,4.05
South Carolina,Darlington,2019,3.55
South Carolina,Darlington,2020,3.49
South Carolina,Darlington,2021,3.61
South Carolina,Darlington,2022,3.5
South Carolina,Darlington,2023,3.66
South Carolina,Darlington,2024,3.81
South Carolina,Dillon,2005,5.45
South Carolina,Dillon,2006,5.11
South Carolina,Dillon,2007,5.3
South Carolina,Dillon,2008,5.18
South Carolina,Dillon,2009,5.01
South Carolina,Dillon,2010,5.02
South Carolina,Dillon,2011,5.24
South Carolina,Dillon,2012,5.43
South Carolina,Dillon,2013,5.26
South Carolina,Dillon,2014,5.73
South Carolina,Dillon,2015,6.18
South Carolina,Dillon,2016,6.34
South Carolina,Dillon,2017,5.88
South Carolina,Dillon,2018,6.21
South Carolina,Dillon,2019,6.39
South Carolina,Dillon,2020,6.4
South Carolina,Dillon,2021,6.02
South Carolina,Dillon,2022,6.06
South Carolina,Dillon,2023,6.15
South Carolina,Dillon,2024,6.26
South Carolina,Dorchester,2005,4.61
South Carolina,Dorchester,2006,4.37
South Carolina,Dorchester,2007,4.68
South Carolina,Dorchester,2008,5.25
South Carolina,Dorchester,2009,5.45
South Carolina,Dorchester,2010,5.1
South Carolina,Dorchester,2011,5.5
South Carolina,Dorchester,2012,5.41
South Carolina,Dorchester,2013,5.49
South Carolina,Dorchester,2014,5.76
South Carolina,Dorchester,2015,5.94
South Carolina,Dorchester,2016,5.99
South Carolina,Dorchester,2017,6.08
South Carolina,Dorchester,2018,5.83
South Carolina,Dorchester,2019,5.95
South Carolina,Dorchester,2020,5.94
South Carolina,Dorchester,2021,6.02
South Carolina,Dorchester,2022,5.67
South Carolina,Dorchester,2023,5.44
South Carolina,Dorchester,2024,5.64
South Carolina,Edgefield,2005,6.5
South Carolina,Edgefield,2006,6.52
South Carolina,Edgefield,2007,6.6
South Carolina,Edgefield,2008,6.39
South Carolina,Edgefield,2009,6.5
South Carolina,Edgefield,2010,7.09
South Carolina,Edgefield,2011,6.52
South Carolina,Edgefield,2012,6.83
South Carolina,Edgefield,2013,7.11
South Carolina,Edgefield,2014,7.02
South Carolina,Edgefield,2015,7.11
South Carolina,Edgefield,2016,7.01
South Carolina,Edgefield,2017,7.22
South Carolina,Edgefield,2018,7.49
South Carolina,Edgefield,2019,7.91
South Carolina,Edgefield,2020,7.67
South Carolina,Edgefield,2021,7.45
South Carolina,Edgefield,2022,7.1
South Carolina,Edgefield,2023,7.25
South Carolina,Edgefield,2024,7.82
South Carolina,Fairfield,2005,5.36
South Carolina,Fairfield,2006,5.48
South Carolina,Fairfield,2007,5.28
South Carolina,Fairfield,2008,5.31
South Carolina,Fairfield,2009,4.99
South Carolina,Fairfield,2010,4.7
South Carolina,Fairfield,2011,4.26
South Carolina,Fairfield,2012,4.89
South Carolina,Fairfield,2013,4.95
South Carolina,Fairfield,2014,4.69
South Carolina,Fairfield,2015,4.93
South Carolina,Fairfield,2016,5.34
South Carolina,Fairfield,2017,5.01
South Carolina,Fairfield,2018,5.25
South Carolina,Fairfield,2019,4.73
South Carolina,Fairfield,2020,4.57
South Carolina,Fairfield,2021,4.49
South Carolina,Fairfield,2022,4.41
South Carolina,Fairfield,2023,4.39
South Carolina,Fairfield,2024,4.07
South Carolina,Florence,2005,5.13
South Carolina,Florence,2006,5.12
South Carolina,Florence,2007,5.19
South Carolina,Florence,2008,4.73
South Carolina,Florence,2009,4.88
South Carolina,Florence,2010,5.04
South Carolina,Florence,2011,4.88
South Carolina,Florence,2012,4.76
South Carolina,Florence,2013,4.62
South Carolina,Florence,2014,4.72
South Carolina,Florence,2015,4.34
South Carolina,Florence,2016,4.28
South Carolina,Florence,2017,4.1
South Carolina,Florence,2018,3.82
South Carolina,Florence,2019,3.65
South Carolina,Florence,2020,3.38
South Carolina,Florence,2021,4.16
South Carolina,Florence,2022,3.65
South Carolina,Florence,2023,3.69
South Carolina,Florence,2024,3.41
South Carolina,Georgetown,2005,4.79
South Carolina,Georgetown,2006,4.5
South Carolina,Georgetown,2007,4.43
South Carolina,Georgetown,2008,4.33
South Carolina,Georgetown,2009,3.95
South Carolina,Georgetown,2010,3.91
South Carolina,Georgetown,2011,3.88
South Carolina,Georgetown,2012,4.6
South Carolina,Georgetown,2013,4.28
South Carolina,Georgetown,2014,4.5
South Carolina,Georgetown,2015,4.96
South Carolina,Georgetown,2016,5.08
South Carolina,Georgetown,2017,4.87
South Carolina,Georgetown,2018,4.97
South Carolina,Georgetown,2019,4.71
South Carolina,Georgetown,2020,4.66
South Carolina,Georgetown,2021,5.05
South Carolina,Georgetown,2022,4.83
South Carolina,Georgetown,2023,4.64
South Carolina,Georgetown,2024,4.73
South Carolina,Greenville,2005,6.31
South Carolina,Greenville,2006,6.49
South Carolina,Greenville,2007,6.55
South Carolina,Greenville,2008,6.97
South Carolina,Greenville,2009,7.3
South Carolina,Greenville,2010,7.11
South Carolina,Greenville,2011,7.38
South Carolina,Greenville,2012,7.66
South Carolina,Greenville,2013,7.3
South Carolina,Greenville,2014,7.28
South Carolina,Greenville,2015,7.45
South Carolina,Greenville,2016,7.23
South Carolina,Greenville,2017,7.69
South Carolina,Greenville,2018,7.79
South Carolina,Greenville,2019,7.0
South Carolina,Greenville,2020,6.86
South Carolina,Greenville,2021,6.69
South Carolina,Greenville,2022,6.66
South Carolina,Greenville,2023,6.79
South Carolina,Greenville,2024,6.66
South Carolina,Greenwood,2005,7.54
South Carolina,Greenwood,2006,7.87
South Carolina,Greenwood,2007,8.01
South Carolina,Greenwood,2008,8.32
South Carolina,Greenwood,2009,8.35
South Carolina,Greenwood,2010,8.78
South Carolina,Greenwood,2011,9.14
South Carolina,Greenwood,2012,8.86
South Carolina,Greenwood,2013,8.94
South Carolina,Greenwood,2014,8.47
South Carolina,Greenwood,2015,8.42
South Carolina,Greenwood,2016,8.88
South Carolina,Greenwood,2017,8.93
South Carolina,Greenwood,2018,9.31
South Carolina,Greenwood,2019,9.13
South Carolina,Greenwood,2020,9.18
South Carolina,Greenwood,2021,9.39
South Carolina,Greenwood,2022,8.81
South Carolina,Greenwood,2023,9.0
South Carolina,Greenwood,2024,9.05
South Carolina,Hampton,2005,6.36
South Carolina,Hampton,2006,6.42
South Carolina,Hampton,2007,6.51
South Carolina,Hampton,2008,6.91
South Carolina,Hampton,2009,6.78
South Carolina,Hampton,2010,6.72
South Carolina,Hampton,2011,6.69
South Carolina,Hampton,2012,6.44
South Carolina,Hampton,2013,6.31
South Carolina,Hampton,2014,5.61
South Carolina,Hampton,2015,5.36
South Carolina,Hampton,2016,5.19
South Carolina,Hampton,2017,5.13
South Carolina,Hampton,2018,4.98
South Carolina,Hampton,2019,4.59
South Carolina,Hampton,2020,4.98
South Carolina,Hampton,2021,4.44
South Carolina,Hampton,2022,3.72
South Carolina,Hampton,2023,3.93
South Carolina,Hampton,2024,3.84
South Carolina,Horry,2005,8.83
South Carolina,Horry,2006,8.53
South Carolina,Horry,2007,8.49
South Carolina,Horry,2008,8.35
South Carolina,Horry,2009,7.98
South Carolina,Horry,2010,7.45
South Carolina,Horry,2011,7.18
South Carolina,Horry,2012,7.53
South Carolina,Horry,2013,7.44
South Carolina,Horry,2014,7.37
South Carolina,Horry,2015,7.28
South Carolina,Horry,2016,6.5
South Carolina,Horry,2017,6.55
South Carolina,Horry,2018,6.82
South Carolina,Horry,2019,6.75
South Carolina,Horry,2020,6.45
South Carolina,Horry,2021,6.86
South Carolina,Horry,2022,6.62
South Carolina,Horry,2023,7.18
South Carolina,Horry,2024,6.9
South Carolina,Jasper,2005,3.48
South Carolina,Jasper,2006,3.33
South Carolina,Jasper,2007,3.08
South Carolina,Jasper,2008,3.51
South Carolina,Jasper,2009,3.58
South Carolina,Jasper,2010,3.8
South Carolina,Jasper,2011,3.52
South Carolina,Jasper,2012,3.49
South Carolina,Jasper,2013,3.54
South Carolina,Jasper,2014,3.56
South Carolina,Jasper,2015,3.38
South Carolina,Jasper,2016,3.73
South Carolina,Jasper,2017,3.57
South Carolina,Jasper,2018,3.56
South Carolina,Jasper,2019,3.42
South Carolina,Jasper,2020,3.32
South Carolina,Jasper,2021,3.69
South Carolina,Jasper,2022,3.39
South Carolina,Jasper,2023,3.61
South Carolina,Jasper,2024,3.87
South Carolina,Kershaw,2005,7.9
South Carolina,Kershaw,2006,7.83
South Carolina,Kershaw,2007,7.58
South Carolina,Kershaw,2008,7.69
South Carolina,Kershaw,2009,7.57
South Carolina,Kershaw,2010,7.73
South Carolina,Kershaw,2011,7.46
South Carolina,Kershaw,2012,7.35
South Carolina,Kershaw,2013,7.4
South Carolina,Kershaw,2014,7.43
South Carolina,Kershaw,2015,7.9
South Carolina,Kershaw,2016,7.4
South Carolina,Kershaw,2017,7.64
South Carolina,Kershaw,2018,7.09
South Carolina,Kershaw,2019,7.63
South Carolina,Kershaw,2020,7.57
South Carolina,Kershaw,2021,7.8
South Carolina,Kershaw,2022,7.77
South Carolina,Kershaw,2023,7.79
South Carolina,Kershaw,2024,7.96
South Carolina,Lancaster,2005,3.32
South Carolina,Lancaster,2006,3.01
South Carolina,Lancaster,2007,3.3
South Carolina,Lancaster,2008,3.71
South Carolina,Lancaster,2009,4.0
South Carolina,Lancaster,2010,4.01
South Carolina,Lancaster,2011,3.48
South Carolina,Lancaster,2012,3.05
South Carolina,Lancaster,2013,3.84
South Carolina,Lancaster,2014,3.82
South Carolina,Lancaster,2015,3.63
South Carolina,Lancaster,2016,3.74
South Carolina,Lancaster,2017,3.81
South Carolina,Lancaster,2018,4.04
South Carolina,Lancaster,2019,3.81
South Carolina,Lancaster,2020,3.43
South Carolina,Lancaster,2021,2.96
South Carolina,Lancaster,2022,2.75
South Carolina,Lancaster,2023,3.07
South Carolina,Lancaster,2024,3.62
South Carolina,Laurens,2005,7.52
South Carolina,Laurens,2006,7.94
South Carolina,Laurens,2007,8.39
South Carolina,Laurens,2008,8.31
South Carolina,Laurens,2009,8.21
South Carolina,Laurens,2010,8.0
South Carolina,Laurens,2011,7.61
South Carolina,Laurens,2012,8.06
South Carolina,Laurens,2013,7.73
South Carolina,Laurens,2014,8.01
South Carolina,Laurens,2015,8.24
South Carolina,Laurens,2016,8.3
South Carolina,Laurens,2017,7.98
South Carolina,Laurens,2018,8.2
South Carolina,Laurens,2019,8.17
South Carolina,Laurens,2020,8.22
South Carolina,Laurens,2021,8.88
South Carolina,Laurens,2022,8.59
South Carolina,Laurens,2023,8.09
South Carolina,Laurens,2024,7.96
South Carolina,Lee,2005,5.99
South Carolina,Lee,2006,6.15
South Carolina,Lee,2007,6.21
South Carolina,Lee,2008,6.09
South Carolina,Lee,2009,6.24
South Carolina,Lee,2010,6.42
South Carolina,Lee,2011,6.06
South Carolina,Lee,2012,5.6
South Carolina,Lee,2013,5.52
South Carolina,Lee,2014,5.17
South Carolina,Lee,2015,5.58
South Carolina,Lee,2016,5.16
South Carolina,Lee,2017,4.87
South Carolina,Lee,2018,4.55
South Carolina,Lee,2019,4.64
South Carolina,Lee,2020,4.18
