State,County,Year,Median_Household_Income
Tennessee,Anderson,2005,44453.06
Tennessee,Anderson,2006,45128.19
Tennessee,Anderson,2007,46343.45
Tennessee,Anderson,2008,47576.94
Tennessee,Anderson,2009,48311.61
Tennessee,Anderson,2010,49451.22
Tennessee,Anderson,2011,50486.71
Tennessee,Anderson,2012,51129.21
Tennessee,Anderson,2013,53030.46
Tennessee,Anderson,2014,54726.0
Tennessee,Anderson,2015,56480.94
Tennessee,Anderson,2016,57071.48
Tennessee,Anderson,2017,58518.27
Tennessee,Anderson,2018,59236.63
Tennessee,Anderson,2019,60122.24
Tennessee,Anderson,2020,60847.52
Tennessee,Anderson,2021,61302.83
Tennessee,Anderson,2022,62680.59
Tennessee,Anderson,2023,63608.96
Tennessee,Anderson,2024,64197.85
Tennessee,Bedford,2005,56306.26
Tennessee,Bedford,2006,58007.8
Tennessee,Bedford,2007,58703.53
Tennessee,Bedford,2008,59885.27
Tennessee,Bedford,2009,60931.02
Tennessee,Bedford,2010,61429.38
Tennessee,Bedford,2011,62223.51
Tennessee,Bedford,2012,63023.16
Tennessee,Bedford,2013,63005.45
Tennessee,Bedford,2014,63685.73
Tennessee,Bedford,2015,65286.92
Tennessee,Bedford,2016,65807.07
Tennessee,Bedford,2017,67025.33
Tennessee,Bedford,2018,68361.75
Tennessee,Bedford,2019,70728.45
Tennessee,Bedford,2020,71434.88
Tennessee,Bedford,2021,72608.08
Tennessee,Bedford,2022,73197.34
Tennessee,Bedford,2023,74023.82
Tennessee,Bedford,2024,74899.63
Tennessee,Benton,2005,41568.77
Tennessee,Benton,2006,42211.55
Tennessee,Benton,2007,43565.18
Tennessee,Benton,2008,44653.11
Tennessee,Benton,2009,45828.99
Tennessee,Benton,2010,47141.7
Tennessee,Benton,2011,46403.91
Tennessee,Benton,2012,47013.67
Tennessee,Benton,2013,48564.53
Tennessee,Benton,2014,49133.97
Tennessee,Benton,2015,50012.83
Tennessee,Benton,2016,50186.52
Tennessee,Benton,2017,50963.38
Tennessee,Benton,2018,52351.98
Tennessee,Benton,2019,53652.83
Tennessee,Benton,2020,54170.41
Tennessee,Benton,2021,54449.56
Tennessee,Benton,2022,55110.02
Tennessee,Benton,2023,55793.14
Tennessee,Benton,2024,56700.25
Tennessee,Bledsoe,2005,60713.02
Tennessee,Bledsoe,2006,61760.89
Tennessee,Bledsoe,2007,62962.24
Tennessee,Bledsoe,2008,64092.56
Tennessee,Bledsoe,2009,65065.05
Tennessee,Bledsoe,2010,65356.73
Tennessee,Bledsoe,2011,66172.94
Tennessee,Bledsoe,2012,66993.25
Tennessee,Bledsoe,2013,68283.24
Tennessee,Bledsoe,2014,69009.82
Tennessee,Bledsoe,2015,70248.14
Tennessee,Bledsoe,2016,71332.87
Tennessee,Bledsoe,2017,71543.12
Tennessee,Bledsoe,2018,72428.26
Tennessee,Bledsoe,2019,73110.39
Tennessee,Bledsoe,2020,73683.7
Tennessee,Bledsoe,2021,75309.32
Tennessee,Bledsoe,2022,76357.36
Tennessee,Bledsoe,2023,77744.09
Tennessee,Bledsoe,2024,78704.59
Tennessee,Blount,2005,46882.57
Tennessee,Blount,2006,47416.07
Tennessee,Blount,2007,48938.5
Tennessee,Blount,2008,49665.22
Tennessee,Blount,2009,49882.79
Tennessee,Blount,2010,51289.58
Tennessee,Blount,2011,51809.86
Tennessee,Blount,2012,52804.93
Tennessee,Blount,2013,53681.99
Tennessee,Blount,2014,54684.39
Tennessee,Blount,2015,55502.35
Tennessee,Blount,2016,56173.64
Tennessee,Blount,2017,56733.39
Tennessee,Blount,2018,58649.42
Tennessee,Blount,2019,60274.86
Tennessee,Blount,2020,61325.05
Tennessee,Blount,2021,62288.98
Tennessee,Blount,2022,63453.13
Tennessee,Blount,2023,64624.59
Tennessee,Blount,2024,66205.42
Tennessee,Bradley,2005,48934.69
Tennessee,Bradley,2006,50296.88
Tennessee,Bradley,2007,51313.92
Tennessee,Bradley,2008,52384.09
Tennessee,Bradley,2009,53759.5
Tennessee,Bradley,2010,55606.62
Tennessee,Bradley,2011,57268.05
Tennessee,Bradley,2012,58056.21
Tennessee,Bradley,2013,58869.64
Tennessee,Bradley,2014,59803.83
Tennessee,Bradley,2015,59927.22
Tennessee,Bradley,2016,60265.56
Tennessee,Bradley,2017,60420.02
Tennessee,Bradley,2018,61202.19
Tennessee,Bradley,2019,62208.74
Tennessee,Bradley,2020,63414.79
Tennessee,Bradley,2021,64629.7
Tennessee,Bradley,2022,66353.84
Tennessee,Bradley,2023,67947.13
Tennessee,Bradley,2024,68930.86
Tennessee,Campbell,2005,52649.9
Tennessee,Campbell,2006,53934.76
Tennessee,Campbell,2007,54918.07
Tennessee,Campbell,2008,56070.41
Tennessee,Campbell,2009,56322.62
Tennessee,Campbell,2010,57149.64
Tennessee,Campbell,2011,58659.67
Tennessee,Campbell,2012,59602.58
Tennessee,Campbell,2013,60780.98
Tennessee,Campbell,2014,61818.26
Tennessee,Campbell,2015,63811.3
Tennessee,Campbell,2016,64179.89
Tennessee,Campbell,2017,65578.75
Tennessee,Campbell,2018,66641.48
Tennessee,Campbell,2019,68114.61
Tennessee,Campbell,2020,69620.59
Tennessee,Campbell,2021,70243.5
Tennessee,Campbell,2022,71044.94
Tennessee,Campbell,2023,72587.59
Tennessee,Campbell,2024,73823.33
Tennessee,Cannon,2005,46057.87
Tennessee,Cannon,2006,47452.44
Tennessee,Cannon,2007,47729.45
Tennessee,Cannon,2008,49034.01
Tennessee,Cannon,2009,49997.67
Tennessee,Cannon,2010,50571.69
Tennessee,Cannon,2011,51202.11
Tennessee,Cannon,2012,52237.48
Tennessee,Cannon,2013,52133.03
Tennessee,Cannon,2014,51985.81
Tennessee,Cannon,2015,53077.31
Tennessee,Cannon,2016,54170.63
Tennessee,Cannon,2017,55389.56
Tennessee,Cannon,2018,56269.18
Tennessee,Cannon,2019,57496.94
Tennessee,Cannon,2020,58241.54
Tennessee,Cannon,2021,58920.3
Tennessee,Cannon,2022,59505.1
Tennessee,Cannon,2023,59731.74
Tennessee,Cannon,2024,60743.39
Tennessee,Carroll,2005,49070.65
Tennessee,Carroll,2006,50474.22
Tennessee,Carroll,2007,51506.55
Tennessee,Carroll,2008,52451.99
Tennessee,Carroll,2009,52668.01
Tennessee,Carroll,2010,53977.3
Tennessee,Carroll,2011,55324.67
Tennessee,Carroll,2012,56835.0
Tennessee,Carroll,2013,56977.32
Tennessee,Carroll,2014,58269.47
Tennessee,Carroll,2015,59126.16
Tennessee,Carroll,2016,59666.58
Tennessee,Carroll,2017,60838.3
Tennessee,Carroll,2018,61764.74
Tennessee,Carroll,2019,62798.71
Tennessee,Carroll,2020,63060.51
Tennessee,Carroll,2021,64337.58
Tennessee,Carroll,2022,65000.14
Tennessee,Carroll,2023,66582.81
Tennessee,Carroll,2024,67641.64
Tennessee,Carter,2005,56914.52
Tennessee,Carter,2006,58113.69
Tennessee,Carter,2007,58929.65
Tennessee,Carter,2008,59661.2
Tennessee,Carter,2009,60664.02
Tennessee,Carter,2010,61503.66
Tennessee,Carter,2011,62360.48
Tennessee,Carter,2012,63962.76
Tennessee,Carter,2013,64626.97
Tennessee,Carter,2014,65409.52
Tennessee,Carter,2015,66798.94
