State,County,Year,Median_Household_Income
North Carolina,Alamance,2005,53485.23
North Carolina,Alamance,2006,54539.07
North Carolina,Alamance,2007,55192.16
North Carolina,Alamance,2008,56055.83
North Carolina,Alamance,2009,56702.7
North Carolina,Alamance,2010,57288.76
North Carolina,Alamance,2011,58896.1
North Carolina,Alamance,2012,59743.51
North Carolina,Alamance,2013,60742.77
North Carolina,Alamance,2014,61641.46
North Carolina,Alamance,2015,62730.51
North Carolina,Alamance,2016,63554.93
North Carolina,Alamance,2017,64899.97
North Carolina,Alamance,2018,65778.25
North Carolina,Alamance,2019,65794.58
North Carolina,Alamance,2020,67060.34
North Carolina,Alamance,2021,66946.57
North Carolina,Alamance,2022,67593.28
North Carolina,Alamance,2023,68391.51
North Carolina,Alamance,2024,68658.04
North Carolina,Alexander,2005,52511.9
North Carolina,Alexander,2006,53520.56
North Carolina,Alexander,2007,55015.99
North Carolina,Alexander,2008,55491.83
North Carolina,Alexander,2009,56040.97
North Carolina,Alexander,2010,57112.43
North Carolina,Alexander,2011,57675.11
North Carolina,Alexander,2012,59157.13
North Carolina,Alexander,2013,59465.65
North Carolina,Alexander,2014,59704.91
North Carolina,Alexander,2015,60116.09
North Carolina,Alexander,2016,62105.6
North Carolina,Alexander,2017,63512.94
North Carolina,Alexander,2018,65280.57
North Carolina,Alexander,2019,66442.9
North Carolina,Alexander,2020,67010.78
North Carolina,Alexander,2021,68189.69
North Carolina,Alexander,2022,68882.93
North Carolina,Alexander,2023,69603.52
North Carolina,Alexander,2024,70959.54
North Carolina,Alleghany,2005,49899.96
North Carolina,Alleghany,2006,51042.5
North Carolina,Alleghany,2007,51731.66
North Carolina,Alleghany,2008,53382.84
North Carolina,Alleghany,2009,54327.19
North Carolina,Alleghany,2010,55154.54
North Carolina,Alleghany,2011,55903.68
North Carolina,Alleghany,2012,57197.22
North Carolina,Alleghany,2013,58768.23
North Carolina,Alleghany,2014,60051.82
North Carolina,Alleghany,2015,60876.3
North Carolina,Alleghany,2016,62148.32
North Carolina,Alleghany,2017,61896.08
North Carolina,Alleghany,2018,62862.75
North Carolina,Alleghany,2019,63413.86
North Carolina,Alleghany,2020,64162.14
North Carolina,Alleghany,2021,64870.91
North Carolina,Alleghany,2022,65341.09
North Carolina,Alleghany,2023,66154.38
