State,County,Year,Median_Household_Income
South Carolina,Abbeville,2005,49384.01
South Carolina,Abbeville,2006,49764.35
South Carolina,Abbeville,2007,50970.49
South Carolina,Abbeville,2008,52169.11
South Carolina,Abbeville,2009,53407.08
South Carolina,Abbeville,2010,53804.62
South Carolina,Abbeville,2011,54537.29
South Carolina,Abbeville,2012,55251.81
South Carolina,Abbeville,2013,56251.83
South Carolina,Abbeville,2014,57064.39
South Carolina,Abbeville,2015,58056.99
South Carolina,Abbeville,2016,59229.18
South Carolina,Abbeville,2017,60846.52
South Carolina,Abbeville,2018,61268.58
South Carolina,Abbeville,2019,61966.61
South Carolina,Abbeville,2020,62807.22
South Carolina,Abbeville,2021,63102.79
South Carolina,Abbeville,2022,64563.58
South Carolina,Abbeville,2023,65189.34
South Carolina,Abbeville,2024,66325.43
South Carolina,Aiken,2005,50822.19
South Carolina,Aiken,2006,52423.76
South Carolina,Aiken,2007,53638.57
South Carolina,Aiken,2008,54866.97
South Carolina,Aiken,2009,55637.11
South Carolina,Aiken,2010,56789.97
South Carolina,Aiken,2011,59027.3
South Carolina,Aiken,2012,59823.64
South Carolina,Aiken,2013,60614.4
South Carolina,Aiken,2014,61754.34
South Carolina,Aiken,2015,63071.58
South Carolina,Aiken,2016,63796.95
South Carolina,Aiken,2017,65561.82
South Carolina,Aiken,2018,66468.26
South Carolina,Aiken,2019,68068.56
South Carolina,Aiken,2020,69688.02
South Carolina,Aiken,2021,70034.59
South Carolina,Aiken,2022,70421.35
South Carolina,Aiken,2023,71471.32
South Carolina,Aiken,2024,71356.2
South Carolina,Allendale,2005,55707.46
South Carolina,Allendale,2006,57312.07
South Carolina,Allendale,2007,58192.87
South Carolina,Allendale,2008,58585.35
South Carolina,Allendale,2009,59914.4
South Carolina,Allendale,2010,60934.69
South Carolina,Allendale,2011,62370.39
South Carolina,Allendale,2012,62749.39
South Carolina,Allendale,2013,63423.03
South Carolina,Allendale,2014,63206.1
South Carolina,Allendale,2015,64756.55
South Carolina,Allendale,2016,66538.03
South Carolina,Allendale,2017,67999.18
South Carolina,Allendale,2018,68436.92
South Carolina,Allendale,2019,69573.33
South Carolina,Allendale,2020,70037.58
South Carolina,Allendale,2021,70935.02
South Carolina,Allendale,2022,71421.65
South Carolina,Allendale,2023,72504.18
South Carolina,Allendale,2024,73611.33
South Carolina,Anderson,2005,50201.46
South Carolina,Anderson,2006,50692.87
South Carolina,Anderson,2007,50977.81
South Carolina,Anderson,2008,51763.16
South Carolina,Anderson,2009,52854.39
South Carolina,Anderson,2010,53148.89
South Carolina,Anderson,2011,54020.2
South Carolina,Anderson,2012,55471.93
South Carolina,Anderson,2013,55967.99
South Carolina,Anderson,2014,56448.22
South Carolina,Anderson,2015,57911.92
South Carolina,Anderson,2016,59113.24
South Carolina,Anderson,2017,60304.31
South Carolina,Anderson,2018,61843.38
South Carolina,Anderson,2019,62243.04
South Carolina,Anderson,2020,63509.34
South Carolina,Anderson,2021,64892.13
South Carolina,Anderson,2022,65599.79
South Carolina,Anderson,2023,66922.93
South Carolina,Anderson,2024,68004.81
South Carolina,Bamberg,2005,53992.29
South Carolina,Bamberg,2006,54886.65
South Carolina,Bamberg,2007,56188.61
South Carolina,Bamberg,2008,58330.61
South Carolina,Bamberg,2009,58846.49
South Carolina,Bamberg,2010,60093.7
South Carolina,Bamberg,2011,61531.05
South Carolina,Bamberg,2012,62960.67
South Carolina,Bamberg,2013,63507.55
South Carolina,Bamberg,2014,64216.76
South Carolina,Bamberg,2015,65283.82
South Carolina,Bamberg,2016,65936.07
South Carolina,Bamberg,2017,67063.47
South Carolina,Bamberg,2018,67965.56
South Carolina,Bamberg,2019,68297.87
South Carolina,Bamberg,2020,69260.1
South Carolina,Bamberg,2021,70562.48
South Carolina,Bamberg,2022,70916.73
South Carolina,Bamberg,2023,72048.81
South Carolina,Bamberg,2024,73225.29
South Carolina,Barnwell,2005,58431.33
South Carolina,Barnwell,2006,59393.96
South Carolina,Barnwell,2007,60253.05
South Carolina,Barnwell,2008,61357.45
South Carolina,Barnwell,2009,62241.34
South Carolina,Barnwell,2010,63777.01
South Carolina,Barnwell,2011,64924.13
South Carolina,Barnwell,2012,66055.09
South Carolina,Barnwell,2013,66827.49
South Carolina,Barnwell,2014,67940.91
South Carolina,Barnwell,2015,69859.48
South Carolina,Barnwell,2016,70267.86
South Carolina,Barnwell,2017,71642.26
South Carolina,Barnwell,2018,72566.42
South Carolina,Barnwell,2019,73002.62
South Carolina,Barnwell,2020,74639.3
South Carolina,Barnwell,2021,76125.55
South Carolina,Barnwell,2022,76507.91
South Carolina,Barnwell,2023,78596.63
South Carolina,Barnwell,2024,79531.06
South Carolina,Beaufort,2005,41427.16
South Carolina,Beaufort,2006,42782.33
South Carolina,Beaufort,2007,44339.68
South Carolina,Beaufort,2008,45352.85
South Carolina,Beaufort,2009,46507.77
South Carolina,Beaufort,2010,47821.74
South Carolina,Beaufort,2011,48803.3
South Carolina,Beaufort,2012,50363.84
South Carolina,Beaufort,2013,51118.52
South Carolina,Beaufort,2014,52749.32
South Carolina,Beaufort,2015,54023.51
South Carolina,Beaufort,2016,54888.43
South Carolina,Beaufort,2017,55891.24
South Carolina,Beaufort,2018,57873.77
South Carolina,Beaufort,2019,58687.72
South Carolina,Beaufort,2020,59585.75
South Carolina,Beaufort,2021,60788.09
South Carolina,Beaufort,2022,62138.18
South Carolina,Beaufort,2023,63566.12
South Carolina,Beaufort,2024,64853.31
South Carolina,Berkeley,2005,52143.07
South Carolina,Berkeley,2006,53242.44
South Carolina,Berkeley,2007,54382.38
South Carolina,Berkeley,2008,56093.77
South Carolina,Berkeley,2009,57315.72
South Carolina,Berkeley,2010,57759.5
South Carolina,Berkeley,2011,58696.41
South Carolina,Berkeley,2012,60638.49
South Carolina,Berkeley,2013,61908.32
South Carolina,Berkeley,2014,62669.16
South Carolina,Berkeley,2015,62900.82
South Carolina,Berkeley,2016,64584.46
South Carolina,Berkeley,2017,65923.28
South Carolina,Berkeley,2018,66599.24
South Carolina,Berkeley,2019,68084.11
South Carolina,Berkeley,2020,69220.03
South Carolina,Berkeley,2021,69739.92
South Carolina,Berkeley,2022,71083.42
South Carolina,Berkeley,2023,72219.84
South Carolina,Berkeley,2024,72724.91
South Carolina,Calhoun,2005,56339.94
South Carolina,Calhoun,2006,57503.28
South Carolina,Calhoun,2007,58462.78
South Carolina,Calhoun,2008,59414.53
South Carolina,Calhoun,2009,60954.58
South Carolina,Calhoun,2010,60759.83
South Carolina,Calhoun,2011,61088.48
South Carolina,Calhoun,2012,62696.62
South Carolina,Calhoun,2013,63371.37
South Carolina,Calhoun,2014,64487.04
South Carolina,Calhoun,2015,65126.74
South Carolina,Calhoun,2016,66779.13
South Carolina,Calhoun,2017,67539.45
South Carolina,Calhoun,2018,68775.41
South Carolina,Calhoun,2019,68666.15
South Carolina,Calhoun,2020,69885.69
South Carolina,Calhoun,2021,70068.91
South Carolina,Calhoun,2022,70650.95
South Carolina,Calhoun,2023,71944.68
South Carolina,Calhoun,2024,73199.93
South Carolina,Charleston,2005,51566.43
South Carolina,Charleston,2006,52785.74
South Carolina,Charleston,2007,53148.77
South Carolina,Charleston,2008,53958.63
South Carolina,Charleston,2009,54904.17
South Carolina,Charleston,2010,56179.51
South Carolina,Charleston,2011,56636.99
South Carolina,Charleston,2012,58636.02
South Carolina,Charleston,2013,59843.59
South Carolina,Charleston,2014,59975.37
