State,County,Year,Nominal_Income,Real_Income
North Carolina,Alamance,2005,60284.11,60284.11
North Carolina,Alamance,2006,61065.72,60085.38
North Carolina,Alamance,2007,62131.35,60167.97
North Carolina,Alamance,2008,63522.45,60558.28
North Carolina,Alamance,2009,64179.29,60247.36
North Carolina,Alamance,2010,64674.28,59796.17
North Carolina,Alamance,2011,64580.18,58821.83
North Carolina,Alamance,2012,65363.4,58663.42
North Carolina,Alamance,2013,65655.49,58075.15
North Carolina,Alamance,2014,66933.3,58363.13
North Carolina,Alamance,2015,68225.84,58655.7
North Carolina,Alamance,2016,68812.33,58341.56
North Carolina,Alamance,2017,69995.31,58534.81
North Carolina,Alamance,2018,70466.03,58135.24
North Carolina,Alamance,2019,72183.31,58761.05
North Carolina,Alamance,2020,73687.91,59199.59
North Carolina,Alamance,2021,74442.86,59032.32
North Carolina,Alamance,2022,76409.44,59817.86
North Carolina,Alamance,2023,77845.63,60173.6
North Carolina,Alamance,2024,78528.05,59945.08
North Carolina,Mecklenburg,2005,51346.95,51346.95
North Carolina,Mecklenburg,2006,52645.5,51800.34
North Carolina,Mecklenburg,2007,54262.43,52547.72
North Carolina,Mecklenburg,2008,55601.48,53006.93
North Carolina,Mecklenburg,2009,56596.3,53128.94
North Carolina,Mecklenburg,2010,57339.48,53014.6
North Carolina,Mecklenburg,2011,58440.32,53229.44
North Carolina,Mecklenburg,2012,59362.13,53277.3
North Carolina,Mecklenburg,2013,60225.64,53272.21
North Carolina,Mecklenburg,2014,61368.03,53510.44
North Carolina,Mecklenburg,2015,61918.68,53233.25
North Carolina,Mecklenburg,2016,62366.17,52876.27
North Carolina,Mecklenburg,2017,63118.22,52783.72
North Carolina,Mecklenburg,2018,63403.21,52308.34
North Carolina,Mecklenburg,2019,64027.31,52121.63
North Carolina,Mecklenburg,2020,65080.68,52284.69
North Carolina,Mecklenburg,2021,65642.89,52054.04
North Carolina,Mecklenburg,2022,66079.36,51730.85
North Carolina,Mecklenburg,2023,67342.47,52054.8
North Carolina,Mecklenburg,2024,68333.36,52162.87
