State,County,Year,Unemployment_Rate
North Carolina,Alamance,2005,6.94
North Carolina,Alamance,2006,6.99
North Carolina,Alamance,2007,7.57
North Carolina,Alamance,2008,7.16
North Carolina,Alamance,2009,7.23
North Carolina,Alamance,2010,7.61
North Carolina,Alamance,2011,7.67
North Carolina,Alamance,2012,7.66
North Carolina,Alamance,2013,7.11
North Carolina,Alamance,2014,7.48
North Carolina,Alamance,2015,7.54
North Carolina,Alamance,2016,7.54
North Carolina,Alamance,2017,7.71
North Carolina,Alamance,2018,7.85
North Carolina,Alamance,2019,8.12
North Carolina,Alamance,2020,8.61
North Carolina,Alamance,2021,8.89
North Carolina,Alamance,2022,9.09
North Carolina,Alamance,2023,9.11
North Carolina,Alamance,2024,8.88
North Carolina,Mecklenburg,2005,6.25
North Carolina,Mecklenburg,2006,5.9
North Carolina,Mecklenburg,2007,5.83
North Carolina,Mecklenburg,2008,5.36
North Carolina,Mecklenburg,2009,5.49
North Carolina,Mecklenburg,2010,5.55
North Carolina,Mecklenburg,2011,5.9
North Carolina,Mecklenburg,2012,5.43
North Carolina,Mecklenburg,2013,5.58
North Carolina,Mecklenburg,2014,5.56
North Carolina,Mecklenburg,2015,5.28
North Carolina,Mecklenburg,2016,5.23
North Carolina,Mecklenburg,2017,5.16
North Carolina,Mecklenburg,2018,5.08
North Carolina,Mecklenburg,2019,4.98
North Carolina,Mecklenburg,2020,4.5
North Carolina,Mecklenburg,2021,4.65
North Carolina,Mecklenburg,2022,4.62
North Carolina,Mecklenburg,2023,4.72
North Carolina,Mecklenburg,2024,4.7
North Carolina,Durham,2005,6.15
North Carolina,Durham,2006,6.18
North Carolina,Durham,2007,6.27
North Carolina,Durham,2008,6.08
North Carolina,Durham,2009,6.15
North Carolina,Durham,2010,6.43
North Carolina,Durham,2011,6.56
North Carolina,Durham,2012,7.2
North Carolina,Durham,2013,7.42
North Carolina,Durham,2014,7.31
North Carolina,Durham,2015,6.86
North Carolina,Durham,2016,6.46
North Carolina,Durham,2017,6.32
North Carolina,Durham,2018,6.28
North Carolina,Durham,2019,6.27
North Carolina,Durham,2020,6.15
North Carolina,Durham,2021,6.21
North Carolina,Durham,2022,6.1
North Carolina,Durham,2023,6.42
North Carolina,Durham,2024,6.39
North Carolina,Guilford,2005,4.17
North Carolina,Guilford,2006,4.55
North Carolina,Guilford,2007,4.39
North Carolina,Guilford,2008,4.06
North Carolina,Guilford,2009,4.63
North Carolina,Guilford,2010,4.71
North Carolina,Guilford,2011,5.0
North Carolina,Guilford,2012,4.32
North Carolina,Guilford,2013,4.49
North Carolina,Guilford,2014,4.17
North Carolina,Guilford,2015,3.17
North Carolina,Guilford,2016,3.04
North Carolina,Guilford,2017,2.98
North Carolina,Guilford,2018,3.26
North Carolina,Guilford,2019,3.31
North Carolina,Guilford,2020,3.72
North Carolina,Guilford,2021,4.18
North Carolina,Guilford,2022,4.67
North Carolina,Guilford,2023,5.17
North Carolina,Guilford,2024,5.51
North Carolina,Wake,2005,7.84
North Carolina,Wake,2006,8.24
North Carolina,Wake,2007,8.31
North Carolina,Wake,2008,8.31
North Carolina,Wake,2009,8.25
North Carolina,Wake,2010,7.88
North Carolina,Wake,2011,7.79
North Carolina,Wake,2012,8.11
North Carolina,Wake,2013,7.94
North Carolina,Wake,2014,7.67
North Carolina,Wake,2015,7.65
North Carolina,Wake,2016,7.28
North Carolina,Wake,2017,7.58
North Carolina,Wake,2018,8.15
North Carolina,Wake,2019,8.33
North Carolina,Wake,2020,7.91
North Carolina,Wake,2021,8.09
North Carolina,Wake,2022,7.94
North Carolina,Wake,2023,7.46
North Carolina,Wake,2024,7.02
Virginia,Fairfax,2005,5.93
Virginia,Fairfax,2006,5.4
Virginia,Fairfax,2007,6.02
Virginia,Fairfax,2008,5.82
Virginia,Fairfax,2009,5.95
Virginia,Fairfax,2010,5.8
Virginia,Fairfax,2011,5.85
Virginia,Fairfax,2012,5.84
Virginia,Fairfax,2013,5.4
Virginia,Fairfax,2014,5.46
Virginia,Fairfax,2015,5.78
Virginia,Fairfax,2016,6.09
Virginia,Fairfax,2017,6.44
Virginia,Fairfax,2018,6.69
Virginia,Fairfax,2019,6.69
Virginia,Fairfax,2020,6.87
Virginia,Fairfax,2021,6.87
Virginia,Fairfax,2022,7.36
Virginia,Fairfax,2023,7.2
Virginia,Fairfax,2024,7.02
Virginia,Henrico,2005,6.12
Virginia,Henrico,2006,5.7
Virginia,Henrico,2007,5.48
Virginia,Henrico,2008,5.21
Virginia,Henrico,2009,5.46
Virginia,Henrico,2010,5.99
Virginia,Henrico,2011,5.57
Virginia,Henrico,2012,4.83
Virginia,Henrico,2013,4.79
Virginia,Henrico,2014,5.21
Virginia,Henrico,2015,5.12
