State,County,Year,Unemployment_Rate
Tennessee,Anderson,2005,4.1
Tennessee,Anderson,2006,4.56
Tennessee,Anderson,2007,4.16
Tennessee,Anderson,2008,4.86
Tennessee,Anderson,2009,4.77
Tennessee,Anderson,2010,4.7
Tennessee,Anderson,2011,4.34
Tennessee,Anderson,2012,4.76
Tennessee,Anderson,2013,4.47
Tennessee,Anderson,2014,4.09
Tennessee,Anderson,2015,3.9
Tennessee,Anderson,2016,3.86
Tennessee,Anderson,2017,3.88
Tennessee,Anderson,2018,4.19
Tennessee,Anderson,2019,4.44
Tennessee,Anderson,2020,3.81
Tennessee,Anderson,2021,3.95
Tennessee,Anderson,2022,4.12
Tennessee,Anderson,2023,4.37
Tennessee,Anderson,2024,3.82
Tennessee,Bedford,2005,4.88
Tennessee,Bedford,2006,4.86
Tennessee,Bedford,2007,4.66
Tennessee,Bedford,2008,4.78
Tennessee,Bedford,2009,5.53
Tennessee,Bedford,2010,5.5
Tennessee,Bedford,2011,5.64
Tennessee,Bedford,2012,5.62
Tennessee,Bedford,2013,5.47
Tennessee,Bedford,2014,5.81
Tennessee,Bedford,2015,5.66
Tennessee,Bedford,2016,5.87
Tennessee,Bedford,2017,5.56
Tennessee,Bedford,2018,5.46
Tennessee,Bedford,2019,5.31
Tennessee,Bedford,2020,4.99
Tennessee,Bedford,2021,5.15
Tennessee,Bedford,2022,5.3
Tennessee,Bedford,2023,5.56
Tennessee,Bedford,2024,5.66
Tennessee,Benton,2005,4.98
Tennessee,Benton,2006,4.99
Tennessee,Benton,2007,5.26
Tennessee,Benton,2008,5.46
Tennessee,Benton,2009,5.85
Tennessee,Benton,2010,6.05
Tennessee,Benton,2011,5.97
Tennessee,Benton,2012,5.95
Tennessee,Benton,2013,6.15
Tennessee,Benton,2014,6.17
Tennessee,Benton,2015,5.44
Tennessee,Benton,2016,5.5
Tennessee,Benton,2017,5.41
Tennessee,Benton,2018,5.36
Tennessee,Benton,2019,5.67
Tennessee,Benton,2020,5.29
Tennessee,Benton,2021,5.54
Tennessee,Benton,2022,5.43
Tennessee,Benton,2023,5.46
Tennessee,Benton,2024,4.71
Tennessee,Bledsoe,2005,8.44
Tennessee,Bledsoe,2006,8.25
Tennessee,Bledsoe,2007,8.5
Tennessee,Bledsoe,2008,8.79
Tennessee,Bledsoe,2009,9.36
Tennessee,Bledsoe,2010,9.33
Tennessee,Bledsoe,2011,9.57
Tennessee,Bledsoe,2012,9.81
Tennessee,Bledsoe,2013,9.98
Tennessee,Bledsoe,2014,9.96
Tennessee,Bledsoe,2015,10.1
Tennessee,Bledsoe,2016,9.74
Tennessee,Bledsoe,2017,9.16
Tennessee,Bledsoe,2018,9.67
Tennessee,Bledsoe,2019,9.89
Tennessee,Bledsoe,2020,9.77
Tennessee,Bledsoe,2021,9.58
Tennessee,Bledsoe,2022,9.41
Tennessee,Bledsoe,2023,9.29
Tennessee,Bledsoe,2024,9.58
Tennessee,Blount,2005,5.35
Tennessee,Blount,2006,5.46
Tennessee,Blount,2007,5.26
Tennessee,Blount,2008,5.09
Tennessee,Blount,2009,5.05
Tennessee,Blount,2010,4.58
Tennessee,Blount,2011,4.55
Tennessee,Blount,2012,5.05
Tennessee,Blount,2013,4.53
Tennessee,Blount,2014,3.85
Tennessee,Blount,2015,4.41
Tennessee,Blount,2016,4.65
Tennessee,Blount,2017,4.5
Tennessee,Blount,2018,4.58
Tennessee,Blount,2019,4.39
Tennessee,Blount,2020,4.09
Tennessee,Blount,2021,3.88
Tennessee,Blount,2022,3.82
Tennessee,Blount,2023,3.58
Tennessee,Blount,2024,3.57
Tennessee,Bradley,2005,8.13
Tennessee,Bradley,2006,7.88
Tennessee,Bradley,2007,7.85
Tennessee,Bradley,2008,7.97
Tennessee,Bradley,2009,7.98
Tennessee,Bradley,2010,7.9
Tennessee,Bradley,2011,7.89
Tennessee,Bradley,2012,8.33
Tennessee,Bradley,2013,8.2
Tennessee,Bradley,2014,7.7
Tennessee,Bradley,2015,7.62
Tennessee,Bradley,2016,7.52
Tennessee,Bradley,2017,7.63
Tennessee,Bradley,2018,7.55
Tennessee,Bradley,2019,7.72
Tennessee,Bradley,2020,7.19
Tennessee,Bradley,2021,7.1
Tennessee,Bradley,2022,7.81
Tennessee,Bradley,2023,7.52
Tennessee,Bradley,2024,7.47
Tennessee,Campbell,2005,5.6
Tennessee,Campbell,2006,6.16
Tennessee,Campbell,2007,5.94
Tennessee,Campbell,2008,5.99
Tennessee,Campbell,2009,6.31
Tennessee,Campbell,2010,6.93
Tennessee,Campbell,2011,6.75
Tennessee,Campbell,2012,6.57
Tennessee,Campbell,2013,6.82
Tennessee,Campbell,2014,6.45
Tennessee,Campbell,2015,6.42
Tennessee,Campbell,2016,6.36
Tennessee,Campbell,2017,5.94
