State,County,Year,Unemployment_Rate
Virginia,Accomack,2005,7.84
Virginia,Accomack,2006,8.1
Virginia,Accomack,2007,7.7
Virginia,Accomack,2008,8.0
Virginia,Accomack,2009,8.08
Virginia,Accomack,2010,7.86
Virginia,Accomack,2011,7.9
Virginia,Accomack,2012,8.23
Virginia,Accomack,2013,8.2
Virginia,Accomack,2014,8.35
Virginia,Accomack,2015,8.21
Virginia,Accomack,2016,8.36
Virginia,Accomack,2017,8.64
Virginia,Accomack,2018,8.38
Virginia,Accomack,2019,7.96
Virginia,Accomack,2020,8.45
Virginia,Accomack,2021,8.79
Virginia,Accomack,2022,9.32
Virginia,Accomack,2023,9.28
Virginia,Accomack,2024,9.16
Virginia,Albemarle,2005,5.52
Virginia,Albemarle,2006,5.42
Virginia,Albemarle,2007,5.31
Virginia,Albemarle,2008,5.21
Virginia,Albemarle,2009,5.41
Virginia,Albemarle,2010,4.95
Virginia,Albemarle,2011,5.03
Virginia,Albemarle,2012,4.44
Virginia,Albemarle,2013,4.12
Virginia,Albemarle,2014,4.35
Virginia,Albemarle,2015,4.57
Virginia,Albemarle,2016,4.28
Virginia,Albemarle,2017,4.1
Virginia,Albemarle,2018,4.19
Virginia,Albemarle,2019,4.56
Virginia,Albemarle,2020,5.0
Virginia,Albemarle,2021,4.68
Virginia,Albemarle,2022,4.57
Virginia,Albemarle,2023,4.62
Virginia,Albemarle,2024,4.68
Virginia,Alleghany,2005,4.01
Virginia,Alleghany,2006,3.58
Virginia,Alleghany,2007,3.88
Virginia,Alleghany,2008,4.07
Virginia,Alleghany,2009,4.64
Virginia,Alleghany,2010,4.73
Virginia,Alleghany,2011,4.56
Virginia,Alleghany,2012,3.84
Virginia,Alleghany,2013,3.9
Virginia,Alleghany,2014,3.97
Virginia,Alleghany,2015,3.83
Virginia,Alleghany,2016,3.28
Virginia,Alleghany,2017,3.3
Virginia,Alleghany,2018,2.69
Virginia,Alleghany,2019,3.56
Virginia,Alleghany,2020,3.61
Virginia,Alleghany,2021,3.57
Virginia,Alleghany,2022,3.32
Virginia,Alleghany,2023,3.71
Virginia,Alleghany,2024,3.25
Virginia,Amelia,2005,4.03
Virginia,Amelia,2006,3.8
Virginia,Amelia,2007,3.69
Virginia,Amelia,2008,3.62
Virginia,Amelia,2009,3.48
Virginia,Amelia,2010,3.62
Virginia,Amelia,2011,4.16
Virginia,Amelia,2012,4.07
Virginia,Amelia,2013,4.34
Virginia,Amelia,2014,4.2
Virginia,Amelia,2015,4.3
Virginia,Amelia,2016,4.29
Virginia,Amelia,2017,4.46
Virginia,Amelia,2018,5.33
Virginia,Amelia,2019,5.32
Virginia,Amelia,2020,5.29
Virginia,Amelia,2021,5.55
Virginia,Amelia,2022,5.23
Virginia,Amelia,2023,6.15
Virginia,Amelia,2024,6.39
Virginia,Amherst,2005,3.98
Virginia,Amherst,2006,3.61
Virginia,Amherst,2007,3.2
Virginia,Amherst,2008,2.72
Virginia,Amherst,2009,2.55
Virginia,Amherst,2010,3.07
Virginia,Amherst,2011,3.2
Virginia,Amherst,2012,3.41
Virginia,Amherst,2013,3.7
Virginia,Amherst,2014,3.64
Virginia,Amherst,2015,3.91
Virginia,Amherst,2016,3.87
Virginia,Amherst,2017,3.85
Virginia,Amherst,2018,3.51
Virginia,Amherst,2019,2.98
Virginia,Amherst,2020,3.15
Virginia,Amherst,2021,3.27
Virginia,Amherst,2022,2.85
Virginia,Amherst,2023,2.5
Virginia,Amherst,2024,2.5
Virginia,Appomattox,2005,6.98
Virginia,Appomattox,2006,7.05
Virginia,Appomattox,2007,6.8
Virginia,Appomattox,2008,6.91
Virginia,Appomattox,2009,7.07
Virginia,Appomattox,2010,7.49
Virginia,Appomattox,2011,7.05
Virginia,Appomattox,2012,7.2
Virginia,Appomattox,2013,7.66
Virginia,Appomattox,2014,8.07
Virginia,Appomattox,2015,8.19
Virginia,Appomattox,2016,8.37
Virginia,Appomattox,2017,8.1
Virginia,Appomattox,2018,8.45
Virginia,Appomattox,2019,8.7
Virginia,Appomattox,2020,8.88
Virginia,Appomattox,2021,9.33
Virginia,Appomattox,2022,9.31
Virginia,Appomattox,2023,9.19
Virginia,Appomattox,2024,9.33
Virginia,Arlington,2005,6.74
Virginia,Arlington,2006,6.8
Virginia,Arlington,2007,6.71
Virginia,Arlington,2008,6.34
Virginia,Arlington,2009,6.09
Virginia,Arlington,2010,5.84
Virginia,Arlington,2011,5.42
Virginia,Arlington,2012,4.93
Virginia,Arlington,2013,4.85
Virginia,Arlington,2014,5.56
Virginia,Arlington,2015,5.68
Virginia,Arlington,2016,5.37
Virginia,Arlington,2017,5.52
Virginia,Arlington,2018,5.68
Virginia,Arlington,2019,5.52
Virginia,Arlington,2020,5.36
Virginia,Arlington,2021,5.17
Virginia,Arlington,2022,5.62
Virginia,Arlington,2023,5.78
Virginia,Arlington,2024,5.76
Virginia,Augusta,2005,4.16
Virginia,Augusta,2006,3.9
Virginia,Augusta,2007,3.91
Virginia,Augusta,2008,3.66
Virginia,Augusta,2009,3.37
Virginia,Augusta,2010,3.27
Virginia,Augusta,2011,3.34
Virginia,Augusta,2012,3.56
Virginia,Augusta,2013,3.75
Virginia,Augusta,2014,3.58
Virginia,Augusta,2015,3.49
Virginia,Augusta,2016,4.14
Virginia,Augusta,2017,3.94
Virginia,Augusta,2018,4.3
Virginia,Augusta,2019,4.21
Virginia,Augusta,2020,4.09
Virginia,Augusta,2021,3.91
Virginia,Augusta,2022,3.48
Virginia,Augusta,2023,3.71
Virginia,Augusta,2024,4.01
Virginia,Bath,2005,7.98
Virginia,Bath,2006,8.46
Virginia,Bath,2007,8.51
Virginia,Bath,2008,8.94
Virginia,Bath,2009,8.93
Virginia,Bath,2010,8.59
Virginia,Bath,2011,8.41
Virginia,Bath,2012,8.72
Virginia,Bath,2013,8.55
Virginia,Bath,2014,8.78
Virginia,Bath,2015,8.78
Virginia,Bath,2016,8.48
Virginia,Bath,2017,8.49
Virginia,Bath,2018,8.39
Virginia,Bath,2019,8.38
Virginia,Bath,2020,8.38
Virginia,Bath,2021,7.48
Virginia,Bath,2022,7.75
Virginia,Bath,2023,8.03
Virginia,Bath,2024,7.95
Virginia,Bedford,2005,6.81
Virginia,Bedford,2006,6.8
Virginia,Bedford,2007,7.57
Virginia,Bedford,2008,7.34
Virginia,Bedford,2009,7.51
Virginia,Bedford,2010,7.26
Virginia,Bedford,2011,7.52
Virginia,Bedford,2012,7.59
Virginia,Bedford,2013,7.63
Virginia,Bedford,2014,7.41
Virginia,Bedford,2015,7.46
Virginia,Bedford,2016,7.82
Virginia,Bedford,2017,7.52
Virginia,Bedford,2018,7.82
Virginia,Bedford,2019,7.54
Virginia,Bedford,2020,8.07
Virginia,Bedford,2021,8.59
Virginia,Bedford,2022,8.89
Virginia,Bedford,2023,9.24
Virginia,Bedford,2024,9.02
Virginia,Bland,2005,6.78
Virginia,Bland,2006,6.8
Virginia,Bland,2007,6.65
Virginia,Bland,2008,6.64
Virginia,Bland,2009,7.12
Virginia,Bland,2010,7.76
Virginia,Bland,2011,7.98
Virginia,Bland,2012,8.18
Virginia,Bland,2013,8.8
Virginia,Bland,2014,8.58
Virginia,Bland,2015,8.07
Virginia,Bland,2016,7.78
Virginia,Bland,2017,7.48
Virginia,Bland,2018,6.63
Virginia,Bland,2019,6.59
Virginia,Bland,2020,6.38
Virginia,Bland,2021,6.38
Virginia,Bland,2022,5.96
Virginia,Bland,2023,6.03
Virginia,Bland,2024,5.74
Virginia,Botetourt,2005,3.94
Virginia,Botetourt,2006,4.16
Virginia,Botetourt,2007,4.35
Virginia,Botetourt,2008,4.43
Virginia,Botetourt,2009,4.49
Virginia,Botetourt,2010,4.16
Virginia,Botetourt,2011,4.46
Virginia,Botetourt,2012,5.09
Virginia,Botetourt,2013,5.33
Virginia,Botetourt,2014,5.24
Virginia,Botetourt,2015,5.25
Virginia,Botetourt,2016,5.46
Virginia,Botetourt,2017,5.42
Virginia,Botetourt,2018,5.17
Virginia,Botetourt,2019,5.32
Virginia,Botetourt,2020,5.25
Virginia,Botetourt,2021,5.1
Virginia,Botetourt,2022,5.36
Virginia,Botetourt,2023,4.92
Virginia,Botetourt,2024,4.63
Virginia,Brunswick,2005,7.67
Virginia,Brunswick,2006,7.8
Virginia,Brunswick,2007,7.71
Virginia,Brunswick,2008,7.62
Virginia,Brunswick,2009,7.27
Virginia,Brunswick,2010,7.37
Virginia,Brunswick,2011,7.76
Virginia,Brunswick,2012,7.69
Virginia,Brunswick,2013,7.99
Virginia,Brunswick,2014,8.38
Virginia,Brunswick,2015,8.3
Virginia,Brunswick,2016,8.76
Virginia,Brunswick,2017,8.8
Virginia,Brunswick,2018,8.55
Virginia,Brunswick,2019,8.34
Virginia,Brunswick,2020,8.31
Virginia,Brunswick,2021,8.26
Virginia,Brunswick,2022,7.93
Virginia,Brunswick,2023,7.66
Virginia,Brunswick,2024,8.49
Virginia,Buchanan,2005,6.17
Virginia,Buchanan,2006,5.94
Virginia,Buchanan,2007,5.44
Virginia,Buchanan,2008,5.6
Virginia,Buchanan,2009,5.33
Virginia,Buchanan,2010,5.24
Virginia,Buchanan,2011,4.9
Virginia,Buchanan,2012,4.75
Virginia,Buchanan,2013,4.81
Virginia,Buchanan,2014,5.03
Virginia,Buchanan,2015,5.91
Virginia,Buchanan,2016,5.67
Virginia,Buchanan,2017,5.36
Virginia,Buchanan,2018,5.24
Virginia,Buchanan,2019,4.83
Virginia,Buchanan,2020,4.65
Virginia,Buchanan,2021,4.59
Virginia,Buchanan,2022,3.66
Virginia,Buchanan,2023,3.69
Virginia,Buchanan,2024,3.17
Virginia,Buckingham,2005,7.32
Virginia,Buckingham,2006,8.31
